UF;COD. UF;COD. MUNIC;CD_MUN;NOME DO MUNICÍPIO;POPULACAO
RJ;33;05752;3305752;Tanguá;31169
PE;26;13602;2613602;São José do Egito;31154
CE;23;10308;2310308;Parambu;31066
RJ;33;00258;3300258;Arraial do Cabo;31030
SP;35;18206;3518206;Guararapes;31017
AM;13;00508;1300508;Barreirinha;30990
RS;43;17301;4317301;Santa Vitória do Palmar;30953
RN;24;08201;2408201;Nísia Floresta;30952
PR;41;09708;4109708;Ibaiti;30943
AL;27;08501;2708501;São Luís do Quitunde;30922
PA;15;04406;1504406;Marapanim;30867
BA;29;07806;2907806;Cícero Dantas;30836
AM;13;01100;1301100;Careiro;30819
MT;51;00201;5100201;Água Boa;30795
PR;41;20903;4120903;Quedas do Iguaçu;30785
MG;31;13305;3113305;Carangola;30778
MT;51;03205;5103205;Colíder;30768
RJ;33;02254;3302254;Itatiaia;30766
AM;13;03536;1303536;Presidente Figueiredo;30762
SC;42;08450;4208450;Itapoá;30731
PI;22;05706;2205706;Luís Correia;30701
PE;26;03009;2603009;Cabrobó;30695
CE;23;07502;2307502;Lavras da Mangabeira;30693
ES;32;00805;3200805;Baixo Guandu;30676
BA;29;05909;2905909;Campo Alegre de Lourdes;30659
PB;25;04306;2504306;Catolé do Rocha;30656
CE;23;13104;2313104;Tabuleiro do Norte;30655
MG;31;05400;3105400;Barão de Cocais;30643
PA;15;03507;1503507;Irituia;30627
RO;11;00130;1100130;Machadinho D'Oeste;30626
MG;31;01508;3101508;Além Paraíba;30608
ES;32;00102;3200102;Afonso Cláudio;30603
PE;26;09501;2609501;Nazaré da Mata;30589
RS;43;06403;4306403;Dois Irmãos;30551
CE;23;09300;2309300;Nova Russas;30518
MS;50;02951;5002951;Chapadão do Sul;30497
MG;31;52006;3152006;Pompéu;30493
BA;29;05800;2905800;Camamu;30480
MA;21;12902;2112902;Vitória do Mearim;30478
RN;24;09407;2409407;Pau dos Ferros;30403
